"id","description","details","featured","image_url","main_category","name","price","sub_category"
"25","Mineral sunscreen makeup base that smooths the skin while providing hydration and broad-spectrum SPF 30 protection.","{
    ""spf"": 30,
    ""skin_type"": ""All skin types"",
    ""volume_ml"": 40
  }",False,"https://media.sephora.eu/content/dam/digital/pim/published/K/KOSAS/758990/363412-media_swatch.jpg","Skincare","Kosas DreamBeam Comfy Smooth Sunscreen Makeup Base SPF 30 (40ml)","2989","SunCreams"
"26","Lightweight sun serum enriched with ginseng extract that provides intense hydration and high SPF 50+ sun protection.","{
    ""spf"": 50,
    ""skin_type"": ""All skin types"",
    ""volume_ml"": 50
  }",False,"https://media.sephora.eu/content/dam/digital/pim/published/B/BEAUTY_OF_JOSEON/761609/365603-media_swatch.jpg","Skincare","Beauty of Joseon Ginseng Moist Sun Serum SPF 50+ (50ml)","1349","SunCreams"
"27","Lightweight mineral sunscreen that helps protect the skin against UVA and UVB rays while delivering a natural finish.","{
    ""spf"": 30,
    ""skin_type"": ""All skin types"",
    ""volume_ml"": 50
  }",True,"https://media.sephora.eu/content/dam/digital/pim/published/S/SUMMER_FRIDAYS/616100/277168-media_swatch.jpg","Skincare","Summer Fridays ShadeDrops Mineral Milk Sunscreen SPF 30 (50ml)","3439","SunCreams"
"28","Weekly at-home treatment mask designed to repair, strengthen, and protect hair structure from damage.","{""hair_type"":""All hair types"",""volume_ml"":100,""curl_friendly"":true}",True,"https://media.sephora.eu/content/dam/digital/pim/published/O/OLAPLEX/353189/31163-media_swatch.jpg?scaleWidth=undefined&scaleHeight=undefined&scaleMode=undefined","Haircare","Olaplex No.3 Hair Perfector Repairing Hair Mask (100ml)","2150","HairMask"
"29","Deeply hydrating hair mask enriched with hyaluronic acid to provide long-lasting moisture and softness.","{""hair_type"":""Dry & dehydrated hair"",""volume_ml"":250,""curl_friendly"":true}",False,"https://media.sephora.eu/content/dam/digital/pim/published/A/AMIKA/728491/348406-media_swatch.jpg?scaleWidth=undefined&scaleHeight=undefined&scaleMode=undefined","Haircare","Amika Hydro Rush Intense Moisture Hair Mask (250ml)","2659","HairMask"
"30","Professional strengthening mask formulated to renew hair lengths and improve the appearance of thin or damaged ends.","{""hair_type"":""Long & damaged hair"",""volume_ml"":250,""curl_friendly"":false}",False,"https://media.sephora.eu/content/dam/digital/pim/published/B/BRGWP232/557756/240278-media_swatch.jpg?scaleWidth=undefined&scaleHeight=undefined&scaleMode=undefined","Haircare","Loreal Professionnel Serie Expert Pro Longer Hair Mask (250ml)","1500","HairMask"
"31","Nourishing hair oil enriched with sustainably sourced Mirsalehi honey to add shine, softness, and hydration.","{
    ""hair_type"": ""All hair types"",
    ""volume_ml"": 50,
    ""active_ingredients"": ""Mirsalehi honey, botanical oils""
  }",False,"https://media.sephora.eu/content/dam/digital/pim/published/G/GISOU/760195/363971-media_swatch.jpg","Haircare","Gisou Honey Infused Hair Oil (50ml)","2529","Oils"
"32","Multi-purpose illuminating hair oil that enhances shine, smoothness, and softness with a lightweight formula.","{
    ""hair_type"": ""All hair types"",
    ""volume_ml"": 75,
    ""active_ingredients"": ""Marula oil, camellia oil""
  }",True,"https://media.sephora.eu/content/dam/digital/pim/published/K/KERAS/732806/351096-media_swatch.jpg","Haircare","Kérastase Elixir Ultime Refillable Hair Oil (75ml)","3750","Oils"
"33","Anti-frizz smoothing serum formulated with keratin to control unruly hair and provide long-lasting smoothness.","{
    ""hair_type"": ""Frizzy & unruly hair"",
    ""volume_ml"": 125,
    ""active_ingredients"": ""Keratin, kukui nut oil""
  }",False,"https://media.sephora.eu/content/dam/digital/pim/published/B/BRGWP232/557746/240268-media_swatch.jpg","Haircare","L’Oréal Professionnel Serie Expert Liss Unlimited Smoothing Serum (125ml)","1240","Oils"
"34","Curl defining styling cream that enhances waves and curls, reduces frizz, and provides flexible, natural hold.","{
    ""washable"": true,
    ""hair_type"": ""Wavy & curly hair"",
    ""hold_level"": 2
  }",False,"https://media.sephora.eu/content/dam/digital/pim/published/A/AVEDA/718167/350291-media_swatch.jpeg","Haircare","Aveda Be Curly Advanced Curl Defining Cream (200ml)","1929","HairWax"
"35","Rich curl defining cream formulated to shape, moisturize, and enhance natural curls with soft, touchable hold.","{
    ""washable"": true,
    ""hair_type"": ""Curly & coily hair"",
    ""hold_level"": 3
  }",False,"https://media.sephora.eu/content/dam/digital/pim/published/F/FENTY_HAIR/756731/363192-media_swatch.jpg","Haircare","Fenty Hair The Homecurl Curl Defining Cream (100ml)","1439","HairWax"
"36","Leave-in thermo-protective styling serum designed for color-treated hair to reduce frizz and protect against heat.","{
    ""washable"": true,
    ""hair_type"": ""Color-treated hair"",
    ""hold_level"": 1
  }",False,"https://media.sephora.eu/content/dam/digital/pim/published/K/KERAS/615342/276996-media_swatch.jpg","Haircare","Kerastase Chroma Absolu Thermique Color-Protecting Serum (150ml)","2350","HairWax"
"37","Limited-edition glow kit featuring two iconic Beauty Light Wands for a radiant, Hollywood-inspired highlight.","{
    ""coverage"": ""Sheer to Medium"",
    ""kit_type"": ""Highlighter Set"",
    ""product_count"": 2
  }",True,"https://media.sephora.eu/content/dam/digital/pim/published/C/CHARLOTTE_TILBURY/779527/382343-media_swatch-0.jpg","SpecialSets","Charlotte Tilbury Hollywood Superstar Glow Kit","2249","MakeupSets"
"38","Gloss Bomb lip gloss trio set featuring three universally flattering shades with high-shine finish.","{
    ""coverage"": ""Sheer"",
    ""kit_type"": ""Lip Gloss Set"",
    ""product_count"": 3
  }",False,"https://media.sephora.eu/content/dam/digital/pim/published/F/FENTY_BEAUTY/FENTY/369901-media_swatch.jpg","SpecialSets","Fenty Beauty Glossy Posse VIII Lip Gloss Set","3659","MakeupSets"
"39","Holiday lip makeup set including three Maracuja Juicy Lip products for hydrated, glossy lips.","{
    ""coverage"": ""Medium"",
    ""kit_type"": ""Lip Makeup Set"",
    ""product_count"": 3
  }",True,"https://media.sephora.eu/content/dam/digital/pim/published/T/TARTE/776078/376769-media_swatch-0.jpg","SpecialSets","Tarte Lil’ Treats Maracuja Juicy Lip Trio","1979","MakeupSets"
"40","Makeup gift set including iconic Pillow Talk shades designed to enhance lips and cheeks with a soft, romantic glow.","{
    ""gender"": ""Female"",
    ""age_group"": ""Adult"",
    ""product_count"": 3
  }",True,"https://media.sephora.eu/content/dam/digital/pim/published/C/CHARLOTTE_TILBURY/776517/377610-media_swatch-0.jpg","SpecialSets","Charlotte Tilbury Pillow Talk Iconic Lip & Cheek Kit","2499","SetsForGifts"
"41","Holiday fragrance mist gift set featuring multiple iconic Cheirosa scents in travel-size sprays.","{
    ""gender"": ""Unisex"",
    ""age_group"": ""Adult"",
    ""product_count"": 5
  }",True,"https://media.sephora.eu/content/dam/digital/pim/published/S/SOL_DE_JANEIRO/774834/377291-media_swatch.jpg","SpecialSets","Sol de Janeiro Spritz The Season Cheirosa Perfumed Body Spray Set (5 x 30ml)","3199","SetsForGifts"
"42","Luxury men’s fragrance gift set featuring the iconic Versace Eros Eau de Parfum, perfect for special occasions.","{
    ""gender"": ""Male"",
    ""age_group"": ""Adult"",
    ""product_count"": 2
  }",False,"https://media.sephora.eu/content/dam/digital/pim/published/V/VERSACE/792493/385823-media_swatch-0.jpg","SpecialSets","Versace Eros Eau de Parfum Gift Set (100ml + 10ml)","6440","SetsForGifts"
